id,created_at,text
940737366255423488,2017-12-13 00:17:20,"b'Happy Hanukkah, everybody, from the Obama family to yours. Chag Sameach!'"
940314364460060673,2017-12-11 20:16:29,b'Just got off a call to thank folks who are working hard to help more Americans across the country sign up for healt\xe2\x80\xa6 https://t.co/A9QvCySWJ8'
937818240453095424,2017-12-04 22:57:47,b'RT @ObamaFoundation: Watch: We hosted a Town Hall in New Delhi with @BarackObama and young leaders about how to drive change and make an im\xe2\x80\xa6'
935255366438408192,2017-11-27 21:13:50,b'Michelle and I are delighted to congratulate Prince Harry and Meghan Markle on their engagement. We wish you a life\xe2\x80\xa6 https://t.co/KC9nmjZPuX'
933707825821421568,2017-11-23 14:44:27,"b'From the Obama family to yours, we wish you a Happy Thanksgiving full of joy and gratitude. https://t.co/xAvSQwjQkz'"
932685522820042754,2017-11-20 19:02:11,"b'ME:  Joe, about halfway through the speech, I\xe2\x80\x99m gonna wish you a happy birth--\nBIDEN:  IT\xe2\x80\x99S MY BIRTHDAY!\nME:  Joe.\xe2\x80\xa6 https://t.co/5qLUsDoaMi'"
929366549009502208,2017-11-11 15:13:46,"b'RT @ObamaFoundation: Today, we honor those who have honored our country with its highest form of service. https://t.co/IbJNCwIofL https://t\xe2\x80\xa6'"
928252100081078272,2017-11-08 13:25:21,b'This is what happens when the people vote. Congrats @RalphNortham and @PhilMurphyNJ . And congratulations to all th\xe2\x80\xa6 https://t.co/ZvUKZIDGAj'
927702713298759680,2017-11-07 01:02:17,b'Every election matters - those who show up determine our future. Go vote tomorrow! https://t.co/j1wh8hLamw'
927337619406643200,2017-11-06 00:51:32,b'May God also grant all of us the wisdom to ask what concrete steps we can take to reduce the violence and weaponry in our midst.'
927337524808347648,2017-11-06 00:51:09,"b'We grieve with all the families in Sutherland Springs harmed by this act of hatred, and we\xe2\x80\x99ll stand with the survivors as they recover...'"
925710762894680064,2017-11-01 13:06:59,"b'Starting today, you can sign up for 2018 health coverage. Head on over to https://t.co/ob1Ynoesod and find a plan t\xe2\x80\xa6 https://t.co/6eN1Y5TQGV'"
925526988659548160,2017-11-01 00:56:44,"b""Michelle and I are thinking of the victims of today's attack in NYC and everyone who keeps us safe. New Yorkers are as tough as they come."""
925114135548919808,2017-10-30 21:36:12,"b'Hello, #ObamaSummit! Thrilled to host civic leaders in Chicago from all over the world. Follow along at @ObamaFoundation.'"
922584337815613441,2017-10-23 22:03:41,"b'I\xe2\x80\x99ll let you and @ladygaga handle the singing, and we\xe2\x80\x99ll handle the donations. There\xe2\x80\x99s still time to give:\xe2\x80\xa6 https://t.co/0NnaR3bozh'"
921889369337860096,2017-10-22 00:02:08,b'Tonight the ex-Presidents are getting together in Texas to support all our fellow Americans rebuilding from this ye\xe2\x80\xa6 https://t.co/nFSou6JC6n'
920061541986250758,2017-10-16 22:59:00,"b""I'm grateful to @SenJohnMcCain for his lifetime of service to our country. Congratulations, John, on receiving this year's Liberty Medal."""
914832655170011137,2017-10-02 12:41:16,b'Michelle &amp; I are praying for the victims in Las Vegas. Our thoughts are with their families &amp; everyone enduring another senseless tragedy.'
913952069765271559,2017-09-30 02:22:08,b'Proud to cheer on Team USA at the Invictus Games today with my friend Joe. You represent the best of our country. https://t.co/WBzcltmgqj'
912724426709504000,2017-09-26 17:03:55,"b""We're expanding our efforts to help Puerto Rico &amp; the USVI, where our fellow Americans need us right now. Join us a\xe2\x80\xa6 https://t.co/gkrp1RwXR4"""
912460861758955523,2017-09-25 23:36:36,"b'Prosecutor, soldier, family man, citizen. Beau made us want to be better. What a legacy to leave. What a testament\xe2\x80\xa6 https://t.co/XDtkLu32wd'"
910542207991590917,2017-09-20 16:32:34,b'RT @gatesfoundation: President @BarackObama addresses #Goalkeepers17 starting at 12:40 PM. Tune in here: https://t.co/XmHBErSHYw'
910330388219916290,2017-09-20 02:30:52,b'Thinking about our neighbors in Mexico and all our Mexican-American friends tonight. Cuidense mucho y un fuerte abrazo para todos.'
909871642423197696,2017-09-18 20:07:58,"b'Coding is important \xe2\x80\x93 and fun. @CSforAll, thanks for your work to make sure every kid can compete in a high-tech, g\xe2\x80\xa6 https://t.co/xwlnvxsjKb'"
